line,uid,fc,interpretation,pdu
3,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
3,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
5,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
7,1,3,"FC3 response: 18 reg(s) [0, 21247, 0, 21324, 0, 21081]",03 24 00 00 52 FF 00 00 53 4C 00 00 52 59 00 02 E7 C6 00 02 E9 F4 00 02 EA 84 00 05 08 60 00 05 0D D6 00 05 0B 2D
9,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
11,1,3,"FC3 response: 16 reg(s) [18, 32857, 0, 0, 18, 33919]",03 20 00 12 80 59 00 00 00 00 00 12 84 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C6 43
13,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
15,1,3,"FC3 response: 36 reg(s) [2489, 20532, 8, 54447, 2555, 19767]",03 48 09 B9 50 34 00 08 D4 AF 09 FB 4D 37 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5D BA 00 03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89
17,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
17,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
19,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
21,1,3,"FC3 response: 18 reg(s) [0, 21168, 0, 21256, 0, 20962]",03 24 00 00 52 B0 00 00 53 08 00 00 51 E2 00 02 E5 47 00 02 E8 D9 00 02 E9 F4 00 05 04 88 00 05 0D 4E 00 05 08 54
21,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
23,1,3,"FC3 response: 16 reg(s) [18, 26907, 0, 0, 18, 27461]",03 20 00 12 69 1B 00 00 00 00 00 12 6B 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8E C9
23,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
27,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
29,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
31,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
33,1,3,"FC3 response: 18 reg(s) [0, 21193, 0, 21190, 0, 20988]",03 24 00 00 52 C9 00 00 52 C6 00 00 51 FC 00 02 E7 55 00 02 EA 04 00 02 E9 4A 00 05 08 99 00 05 0C B7 00 05 09 49
33,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
35,1,3,"FC3 response: 16 reg(s) [18, 27662, 0, 0, 18, 27862]",03 20 00 12 6C 0E 00 00 00 00 00 12 6C D6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 55 EC
37,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
43,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
43,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
45,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
47,1,3,"FC3 response: 18 reg(s) [0, 21373, 0, 21381, 0, 20991]",03 24 00 00 53 7D 00 00 53 85 00 00 51 FF 00 02 E9 64 00 02 E9 F9 00 02 E8 E7 00 05 0B 2F 00 05 0B 1A 00 05 0B 23
47,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
49,1,3,"FC3 response: 16 reg(s) [18, 33228, 0, 0, 18, 34449]",03 20 00 12 81 CC 00 00 00 00 00 12 86 91 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D4 A4
49,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
53,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
53,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
55,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
57,1,3,"FC3 response: 18 reg(s) [0, 21275, 0, 21195, 0, 21168]",03 24 00 00 53 1B 00 00 52 CB 00 00 52 B0 00 02 E8 0E 00 02 E9 EE 00 02 EA 7B 00 05 08 B2 00 05 0D 98 00 05 0B 78
57,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
59,1,3,"FC3 response: 16 reg(s) [18, 32445, 0, 0, 18, 33531]",03 20 00 12 7E BD 00 00 00 00 00 12 82 FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 86
59,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
63,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
65,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
67,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
69,1,3,"FC3 response: 18 reg(s) [0, 21094, 0, 21169, 0, 20980]",03 24 00 00 52 66 00 00 52 B1 00 00 51 F4 00 02 E4 E2 00 02 E8 EF 00 02 E9 0E 00 05 04 AC 00 05 0C 95 00 05 06 D2
69,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
71,1,3,"FC3 response: 16 reg(s) [18, 23983, 0, 0, 18, 24200]",03 20 00 12 5D AF 00 00 00 00 00 12 5E 88 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 59 49
71,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
75,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
75,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
77,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
79,1,3,"FC3 response: 18 reg(s) [0, 21164, 0, 21213, 0, 21262]",03 24 00 00 52 AC 00 00 52 DD 00 00 53 0E 00 02 E8 D1 00 02 EA 8B 00 02 E9 33 00 05 0A FB 00 05 0C 63 00 05 0A 8E
79,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
81,1,3,"FC3 response: 16 reg(s) [18, 32935, 0, 0, 18, 33373]",03 20 00 12 80 A7 00 00 00 00 00 12 82 5D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7F 76
81,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
85,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
85,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
87,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
89,1,3,"FC3 response: 18 reg(s) [0, 21418, 0, 21494, 0, 20986]",03 24 00 00 53 AA 00 00 53 F6 00 00 51 FA 00 02 E8 F9 00 02 EA 03 00 02 E8 38 00 05 0B 20 00 05 0A 96 00 05 09 E0
91,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
93,1,3,"FC3 response: 16 reg(s) [18, 35401, 0, 0, 18, 36714]",03 20 00 12 8A 49 00 00 00 00 00 12 8F 6A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D7 76
95,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
99,114,42,FC42 raw len=28,2A 00 00 00 02 00 08 CF 46 00 00 13 88 DC DE 01 03 61 B4 00 01 DB D0 01 03 02 00 7C
101,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
103,1,3,"FC3 response: 18 reg(s) [0, 21237, 0, 21276, 0, 21018]",03 24 00 00 52 F5 00 00 53 1C 00 00 52 1A 00 02 E6 35 00 02 E9 2B 00 02 E9 AA 00 05 06 29 00 05 0C D0 00 05 08 DB
103,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
105,1,3,"FC3 response: 16 reg(s) [18, 29590, 0, 0, 18, 30435]",03 20 00 12 73 96 00 00 00 00 00 12 76 E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 97
107,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
111,186,1,FC1 raw len=5,01 03 61 B4 00
111,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
113,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
115,1,3,"FC3 response: 18 reg(s) [0, 21121, 0, 21111, 0, 21060]",03 24 00 00 52 81 00 00 52 77 00 00 52 44 00 02 E6 87 00 02 E9 E2 00 02 E9 10 00 05 07 A5 00 05 0C BE 00 05 08 30
115,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
117,1,3,"FC3 response: 16 reg(s) [18, 25974, 0, 0, 18, 26140]",03 20 00 12 65 76 00 00 00 00 00 12 66 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4D F9
117,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
121,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
121,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
123,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
125,1,3,"FC3 response: 18 reg(s) [0, 21151, 0, 21306, 0, 21148]",03 24 00 00 52 9F 00 00 53 3A 00 00 52 9C 00 02 E8 EE 00 02 EA D0 00 02 E9 D4 00 05 0B 09 00 05 0D 5F 00 05 0A E1
125,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
127,1,3,"FC3 response: 16 reg(s) [18, 33158, 0, 0, 18, 36883]",03 20 00 12 81 86 00 00 00 00 00 12 90 13 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CA 6A
129,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
135,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
135,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
137,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
139,1,3,"FC3 response: 18 reg(s) [0, 21351, 0, 21342, 0, 21155]",03 24 00 00 53 67 00 00 53 5E 00 00 52 A3 00 02 E9 16 00 02 EA 2A 00 02 EA 2F 00 05 0A 56 00 05 0C F3 00 05 0C 27
141,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
143,1,3,"FC3 response: 16 reg(s) [18, 36357, 0, 0, 18, 37656]",03 20 00 12 8E 05 00 00 00 00 00 12 93 18 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DB A3
145,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
149,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
151,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
153,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
155,1,3,"FC3 response: 18 reg(s) [0, 21153, 0, 21200, 0, 21026]",03 24 00 00 52 A1 00 00 52 D0 00 00 52 22 00 02 E5 4A 00 02 E9 91 00 02 E9 C2 00 05 05 79 00 05 0D E5 00 05 07 B8
155,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
157,1,3,"FC3 response: 16 reg(s) [18, 27355, 0, 0, 18, 27764]",03 20 00 12 6A DB 00 00 00 00 00 12 6C 74 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7A D6
157,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
161,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
161,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
163,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
165,1,3,"FC3 response: 18 reg(s) [0, 21183, 0, 21179, 0, 21034]",03 24 00 00 52 BF 00 00 52 BB 00 00 52 2A 00 02 E6 1D 00 02 EA 26 00 02 E9 70 00 05 0A 88 00 05 0D 0B 00 05 0A 3B
165,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
167,1,3,"FC3 response: 16 reg(s) [18, 28223, 0, 0, 18, 33912]",03 20 00 12 6E 3F 00 00 00 00 00 12 84 78 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 62 EB
167,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
171,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
171,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
173,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
175,1,3,"FC3 response: 18 reg(s) [0, 21327, 0, 21436, 0, 21187]",03 24 00 00 53 4F 00 00 53 BC 00 00 52 C3 00 02 E9 69 00 02 EA CD 00 02 E9 46 00 05 0B EA 00 05 0C 71 00 05 0B 2C
175,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
177,1,3,"FC3 response: 16 reg(s) [18, 38717, 0, 0, 18, 39496]",03 20 00 12 97 3D 00 00 00 00 00 12 9A 48 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AA 2D
179,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
183,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
185,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
187,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
189,1,3,"FC3 response: 18 reg(s) [0, 21362, 0, 21382, 0, 21160]",03 24 00 00 53 72 00 00 53 86 00 00 52 A8 00 02 E7 74 00 02 EA 48 00 02 EA BE 00 05 08 41 00 05 0E A2 00 05 0A E5
189,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
191,1,3,"FC3 response: 16 reg(s) [18, 38020, 0, 0, 18, 39048]",03 20 00 12 94 84 00 00 00 00 00 12 98 88 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C3 8C
193,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
197,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
199,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
201,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
203,1,3,"FC3 response: 18 reg(s) [0, 21299, 0, 21284, 0, 21043]",03 24 00 00 53 33 00 00 53 24 00 00 52 33 00 02 E5 6F 00 02 E9 84 00 02 E9 24 00 05 05 ED 00 05 0D 0A 00 05 07 38
203,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
205,1,3,"FC3 response: 16 reg(s) [18, 30170, 0, 0, 18, 30369]",03 20 00 12 75 DA 00 00 00 00 00 12 76 A1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 55 A6
205,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
211,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
211,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
213,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
215,1,3,"FC3 response: 18 reg(s) [0, 21274, 0, 21324, 0, 21155]",03 24 00 00 53 1A 00 00 53 4C 00 00 52 A3 00 02 E7 97 00 02 EA 43 00 02 E9 1F 00 05 09 41 00 05 0C AE 00 05 09 3E
217,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
219,1,3,"FC3 response: 16 reg(s) [18, 34944, 0, 0, 18, 35185]",03 20 00 12 88 80 00 00 00 00 00 12 89 71 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5E 91
219,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
223,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
223,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
225,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
227,1,3,"FC3 response: 18 reg(s) [0, 21472, 0, 21530, 0, 21256]",03 24 00 00 53 E0 00 00 54 1A 00 00 53 08 00 02 E8 8D 00 02 E9 FF 00 02 E9 0F 00 05 0A 27 00 05 0B CA 00 05 0A 56
227,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
229,1,3,"FC3 response: 16 reg(s) [18, 42847, 0, 0, 18, 44135]",03 20 00 12 A7 5F 00 00 00 00 00 12 AC 67 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DB 46
229,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
233,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
235,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
237,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
239,1,3,"FC3 response: 18 reg(s) [0, 21438, 0, 21481, 0, 21118]",03 24 00 00 53 BE 00 00 53 E9 00 00 52 7E 00 02 E5 84 00 02 E9 50 00 02 E9 F5 00 05 05 57 00 05 0D B6 00 05 08 54
241,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
243,1,3,"FC3 response: 16 reg(s) [18, 35680, 0, 0, 18, 36321]",03 20 00 12 8B 60 00 00 00 00 00 12 8D E1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9A 4F
243,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
247,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
247,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
249,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
251,1,3,"FC3 response: 18 reg(s) [0, 21248, 0, 21324, 0, 21059]",03 24 00 00 53 00 00 00 53 4C 00 00 52 43 00 02 E5 66 00 02 E9 50 00 02 E9 54 00 05 05 8A 00 05 0D 0D 00 05 07 82
251,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
253,1,3,"FC3 response: 16 reg(s) [18, 31886, 0, 0, 18, 32117]",03 20 00 12 7C 8E 00 00 00 00 00 12 7D 75 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5C 82
253,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
257,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
257,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
259,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
261,1,3,"FC3 response: 18 reg(s) [0, 21401, 0, 21448, 0, 21238]",03 24 00 00 53 99 00 00 53 C8 00 00 52 F6 00 02 E9 2B 00 02 EA BC 00 02 E9 87 00 05 0B 6A 00 05 0C CB 00 05 0B 3A
263,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
265,1,3,"FC3 response: 16 reg(s) [18, 41817, 0, 0, 18, 42326]",03 20 00 12 A3 59 00 00 00 00 00 12 A5 56 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 89 B1
265,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
269,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
269,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
271,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
273,1,3,"FC3 response: 18 reg(s) [0, 21540, 0, 21515, 0, 21198]",03 24 00 00 54 24 00 00 54 0B 00 00 52 CE 00 02 E8 24 00 02 EA 7B 00 02 E9 F9 00 05 09 BA 00 05 0D 99 00 05 0A AA
275,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
277,1,3,"FC3 response: 16 reg(s) [18, 44468, 0, 0, 18, 45569]",03 20 00 12 AD B4 00 00 00 00 00 12 B2 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CA E3
277,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
283,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
283,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
285,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
287,1,3,"FC3 response: 18 reg(s) [0, 21440, 0, 21409, 0, 21173]",03 24 00 00 53 C0 00 00 53 A1 00 00 52 B5 00 02 E5 EB 00 02 E9 35 00 02 EA 15 00 05 05 A1 00 05 0D 82 00 05 08 FB
289,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
