line_index,raw_line,subframe_index,start_byte,end_byte,uid,pdu_hex,crc_calc,valid
3,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,0,7,1,03 61 B4 00 01,D0DB,OK
3,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,8,14,1,03 02 00 7C,A5B9,OK
5,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
7,01 03 24 00 00 52 FF 00 00 53 4C 00 00 52 59 00 02 E7 C6 00 02 E9 F4 00 02 EA 84 00 05 08 60 00 05 0D D6 00 05 0B 2D E5 73,0,0,40,1,03 24 00 00 52 FF 00 00 53 4C 00 00 52 59 00 02 E7 C6 00 02 E9 F4 00 02 EA 84 00 05 08 60 00 05 0D D6 00 05 0B 2D,73E5,OK
9,01 03 00 66 00 10 A4 19,0,0,7,1,03 00 66 00 10,19A4,OK
11,01 03 20 00 12 80 59 00 00 00 00 00 12 84 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C6 43 9D 66,0,0,36,1,03 20 00 12 80 59 00 00 00 00 00 12 84 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C6 43,669D,OK
13,01 03 00 A6 00 24 A5 F2,0,0,7,1,03 00 A6 00 24,F2A5,OK
15,01 03 48 09 B9 50 34 00 08 D4 AF 09 FB 4D 37 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5D BA 00 03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 9D 1B,0,0,76,1,03 48 09 B9 50 34 00 08 D4 AF 09 FB 4D 37 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5D BA 00 03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89,1B9D,OK
17,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,0,7,1,03 61 B4 00 01,D0DB,OK
17,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,8,14,1,03 02 00 7C,A5B9,OK
19,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
21,01 03 24 00 00 52 B0 00 00 53 08 00 00 51 E2 00 02 E5 47 00 02 E8 D9 00 02 E9 F4 00 05 04 88 00 05 0D 4E 00 05 08 54 4C 2A 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 52 B0 00 00 53 08 00 00 51 E2 00 02 E5 47 00 02 E8 D9 00 02 E9 F4 00 05 04 88 00 05 0D 4E 00 05 08 54,2A4C,OK
21,01 03 24 00 00 52 B0 00 00 53 08 00 00 51 E2 00 02 E5 47 00 02 E8 D9 00 02 E9 F4 00 05 04 88 00 05 0D 4E 00 05 08 54 4C 2A 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
23,01 03 20 00 12 69 1B 00 00 00 00 00 12 6B 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8E C9 C3 BD 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 69 1B 00 00 00 00 00 12 6B 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8E C9,BDC3,OK
23,01 03 20 00 12 69 1B 00 00 00 00 00 12 6B 45 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8E C9 C3 BD 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
27,03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 28 31 01 03 61 B4 00 01 DB D0,0,45,52,1,03 61 B4 00 01,D0DB,OK
29,01 03 02 00 7C B9 A5,0,0,6,1,03 02 00 7C,A5B9,OK
31,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
33,01 03 24 00 00 52 C9 00 00 52 C6 00 00 51 FC 00 02 E7 55 00 02 EA 04 00 02 E9 4A 00 05 08 99 00 05 0C B7 00 05 09 49 8E 8F 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 52 C9 00 00 52 C6 00 00 51 FC 00 02 E7 55 00 02 EA 04 00 02 E9 4A 00 05 08 99 00 05 0C B7 00 05 09 49,8F8E,OK
33,01 03 24 00 00 52 C9 00 00 52 C6 00 00 51 FC 00 02 E7 55 00 02 EA 04 00 02 E9 4A 00 05 08 99 00 05 0C B7 00 05 09 49 8E 8F 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
35,01 03 20 00 12 6C 0E 00 00 00 00 00 12 6C D6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 55 EC 16 50,0,0,36,1,03 20 00 12 6C 0E 00 00 00 00 00 12 6C D6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 55 EC,5016,OK
37,01 03 00 A6 00 24 A5 F2,0,0,7,1,03 00 A6 00 24,F2A5,OK
43,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,0,7,1,03 61 B4 00 01,D0DB,OK
43,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,8,14,1,03 02 00 7C,A5B9,OK
45,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
47,01 03 24 00 00 53 7D 00 00 53 85 00 00 51 FF 00 02 E9 64 00 02 E9 F9 00 02 E8 E7 00 05 0B 2F 00 05 0B 1A 00 05 0B 23 FB 18 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 53 7D 00 00 53 85 00 00 51 FF 00 02 E9 64 00 02 E9 F9 00 02 E8 E7 00 05 0B 2F 00 05 0B 1A 00 05 0B 23,18FB,OK
47,01 03 24 00 00 53 7D 00 00 53 85 00 00 51 FF 00 02 E9 64 00 02 E9 F9 00 02 E8 E7 00 05 0B 2F 00 05 0B 1A 00 05 0B 23 FB 18 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
49,01 03 20 00 12 81 CC 00 00 00 00 00 12 86 91 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D4 A4 AA BF 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 81 CC 00 00 00 00 00 12 86 91 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D4 A4,BFAA,OK
49,01 03 20 00 12 81 CC 00 00 00 00 00 12 86 91 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D4 A4 AA BF 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
53,03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 C6 33 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,45,52,1,03 61 B4 00 01,D0DB,OK
53,03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 C6 33 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,53,59,1,03 02 00 7C,A5B9,OK
55,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
57,01 03 24 00 00 53 1B 00 00 52 CB 00 00 52 B0 00 02 E8 0E 00 02 E9 EE 00 02 EA 7B 00 05 08 B2 00 05 0D 98 00 05 0B 78 8D E5 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 53 1B 00 00 52 CB 00 00 52 B0 00 02 E8 0E 00 02 E9 EE 00 02 EA 7B 00 05 08 B2 00 05 0D 98 00 05 0B 78,E58D,OK
57,01 03 24 00 00 53 1B 00 00 52 CB 00 00 52 B0 00 02 E8 0E 00 02 E9 EE 00 02 EA 7B 00 05 08 B2 00 05 0D 98 00 05 0B 78 8D E5 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
59,01 03 20 00 12 7E BD 00 00 00 00 00 12 82 FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 86 DA 3C 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 7E BD 00 00 00 00 00 12 82 FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 86,3CDA,OK
59,01 03 20 00 12 7E BD 00 00 00 00 00 12 82 FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 86 DA 3C 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
