uid,req_line,resp_line,start,reg_index,reg_addr,value,hex
1,3,3,25012,0,25012,124,007C
1,5,7,16,0,16,0,0000
1,5,7,16,1,17,21247,52FF
1,5,7,16,2,18,0,0000
1,5,7,16,3,19,21324,534C
1,5,7,16,4,20,0,0000
1,5,7,16,5,21,21081,5259
1,5,7,16,6,22,2,0002
1,5,7,16,7,23,59334,E7C6
1,5,7,16,8,24,2,0002
1,5,7,16,9,25,59892,E9F4
1,5,7,16,10,26,2,0002
1,5,7,16,11,27,60036,EA84
1,5,7,16,12,28,5,0005
1,5,7,16,13,29,2144,0860
1,5,7,16,14,30,5,0005
1,5,7,16,15,31,3542,0DD6
1,5,7,16,16,32,5,0005
1,5,7,16,17,33,2861,0B2D
1,9,11,102,0,102,18,0012
1,9,11,102,1,103,32857,8059
1,9,11,102,2,104,0,0000
1,9,11,102,3,105,0,0000
1,9,11,102,4,106,18,0012
1,9,11,102,5,107,33919,847F
1,9,11,102,6,108,0,0000
1,9,11,102,7,109,0,0000
1,9,11,102,8,110,0,0000
1,9,11,102,9,111,0,0000
1,9,11,102,10,112,0,0000
1,9,11,102,11,113,0,0000
1,9,11,102,12,114,0,0000
1,9,11,102,13,115,0,0000
1,9,11,102,14,116,0,0000
1,9,11,102,15,117,50755,C643
1,13,15,166,0,166,2489,09B9
1,13,15,166,1,167,20532,5034
1,13,15,166,2,168,8,0008
1,13,15,166,3,169,54447,D4AF
1,13,15,166,4,170,2555,09FB
1,13,15,166,5,171,19767,4D37
1,13,15,166,6,172,18,0012
1,13,15,166,7,173,19134,4ABE
1,13,15,166,8,174,11,000B
1,13,15,166,9,175,15224,3B78
1,13,15,166,10,176,151,0097
1,13,15,166,11,177,33124,8164
1,13,15,166,12,178,1479,05C7
1,13,15,166,13,179,23994,5DBA
1,13,15,166,14,180,3,0003
1,13,15,166,15,181,9637,25A5
1,13,15,166,16,182,0,0000
1,13,15,166,17,183,999,03E7
1,13,15,166,18,184,31,001F
1,13,15,166,19,185,9601,2581
