reg_addr,uid,value_raw,value_scaled,hex,mapped_name,mapped_unit,mapped_description,map_row_index,resp_line,count
16,1,0,0,0000,/11/2020,,,16,1671,107
17,1,24118,24118,5E36,………………………………… ..…20,,,17,1671,74
18,1,0,0,0000,,,,,1671,74
19,1,24042,24042,5DEA,/11/2018,,,18,1671,74
20,1,0,0,0000,…………………………………… ..23,,,19,1671,74
21,1,23779,23779,5CE3,Byte,,,20,1671,74
22,1,2,2,0002,,,,,1671,74
23,1,58589,58589,E4DD,4      Commands                                                                                                                                   23,,,21,1671,74
24,1,2,2,0002,26,,,22,1671,74
25,1,59440,59440,E830,10000 2 Bytes,,,23,1671,74
26,1,2,2,0002,27,,,24,1671,74
27,1,59534,59534,E88E,The  communication  between  the  Master  and  Slave  (Relay)  is  established  using  the  following parameters. The following parameters,,,25,1671,74
28,1,5,5,0005,/07/2018,,,26,1671,74
29,1,1043,1043,0413,,,,,1671,74
30,1,5,5,0005,,,,,1671,74
31,1,2859,2859,0B2B,/7/2018,,,27,1671,74
32,1,5,5,0005,Bytes,,,28,1671,36
33,1,1697,1697,06A1,,,,,1671,36
102,1,20,20,0014,,,,,1675,107
103,1,56181,56181,DB75,,,,,1675,69
104,1,0,0,0000,,,,,1675,69
105,1,0,0,0000,,,,,1675,69
106,1,20,20,0014,,,,,1675,69
107,1,57439,57439,E05F,,,,,1675,69
108,1,0,0,0000,,,,,1675,69
109,1,0,0,0000,,,,,1675,69
110,1,0,0,0000,,,,,1675,69
111,1,0,0,0000,,,,,1675,69
112,1,0,0,0000,,,,,1675,69
113,1,0,0,0000,,,,,1675,69
114,1,0,0,0000,,,,,1675,69
115,1,0,0,0000,,,,,1675,69
116,1,0,0,0000,,,,,1675,69
117,1,58648,58648,E518,,,,,1675,69
118,1,5,5,0005,,,,,1659,34
119,1,1886,1886,075E,,,,,1659,34
120,1,31,31,001F,4000V120-4000V,,,33,1487,1
121,1,9601,9601,2581,,,,,1487,1
122,1,0,0,0000,,,,,1487,1
123,1,22796,22796,590C,,,,,1487,1
124,1,31,31,001F,,,,,1487,1
125,1,5430,5430,1536,,,,,1487,1
126,1,0,0,0000,,,,,1487,1
127,1,11809,11809,2E21,,,,,1487,1
128,1,0,0,0000,,,,,1487,1
129,1,3,3,0003,,,,,1487,1
130,1,17,17,0011,,,,,1487,1
131,1,29226,29226,722A,,,,,1487,1
132,1,0,0,0000,,,,,1487,1
133,1,2,2,0002,,,,,1487,1
134,1,8,8,0008,,,,,1487,1
135,1,53062,53062,CF46,,,,,1487,1
136,1,0,0,0000,,,,,1487,1
137,1,5003,5003,138B,,,,,1487,1
166,1,124,124,007C,,,,,1681,107
167,1,8193,8193,2001,,,,,1661,72
168,1,0,0,0000,,,,,1661,72
169,1,0,0,0000,,,,,1661,72
170,1,21,21,0015,,,,,1661,72
171,1,9711,9711,25EF,,,,,1661,72
172,1,0,0,0000,,,,,1661,72
173,1,0,0,0000,,,,,1661,72
174,1,0,0,0000,,,,,1661,72
175,1,0,0,0000,,,,,1661,72
176,1,0,0,0000,,,,,1661,72
177,1,0,0,0000,,,,,1661,72
178,1,0,0,0000,,,,,1661,72
179,1,0,0,0000,,,,,1661,72
180,1,0,0,0000,6000V180-6000V,,,34,1661,72
181,1,64836,64836,FD44,,,,,1661,72
182,1,5,5,0005,,,,,1649,40
183,1,2026,2026,07EA,,,,,1649,40
184,1,31,31,001F,,,,,15,1
185,1,9601,9601,2581,,,,,15,1
186,1,0,0,0000,,,,,15,1
187,1,22796,22796,590C,,,,,15,1
188,1,31,31,001F,,,,,15,1
189,1,5430,5430,1536,,,,,15,1
190,1,0,0,0000,,,,,15,1
191,1,11809,11809,2E21,,,,,15,1
192,1,0,0,0000,,,,,15,1
193,1,3,3,0003,,,,,15,1
194,1,17,17,0011,,,,,15,1
195,1,29226,29226,722A,,,,,15,1
196,1,0,0,0000,,,,,15,1
197,1,2,2,0002,,,,,15,1
198,1,8,8,0008,,,,,15,1
199,1,53062,53062,CF46,,,,,15,1
200,1,0,0,0000,,,,,15,1
201,1,5001,5001,1389,,,,,15,1
8192,1,19,19,0013,,,,,955,1
8193,1,3480,3480,0D98,,,,,955,1
8194,1,0,0,0000,,,,,955,1
8195,1,0,0,0000,,,,,955,1
8196,1,19,19,0013,,,,,955,1
8197,1,4045,4045,0FCD,,,,,955,1
8198,1,0,0,0000,,,,,955,1
8199,1,0,0,0000,,,,,955,1
8200,1,0,0,0000,,,,,955,1
8201,1,0,0,0000,,,,,955,1
8202,1,0,0,0000,,,,,955,1
8203,1,0,0,0000,,,,,955,1
8204,1,0,0,0000,,,,,955,1
8205,1,0,0,0000,,,,,955,1
8206,1,0,0,0000,,,,,955,1
8207,1,37558,37558,92B6,,,,,955,1
25012,1,124,124,007C,1,,,53,1667,103
25013,1,8308,8308,2074,1,,,54,1651,69
25014,1,0,0,0000,,,,,1651,69
25015,1,0,0,0000,,,,,1651,69
25016,1,21,21,0015,,,,,1651,69
25017,1,8991,8991,231F,,,,,1651,69
25018,1,0,0,0000,,,,,1651,69
25019,1,0,0,0000,,,,,1651,69
25020,1,0,0,0000,,,,,1651,69
25021,1,0,0,0000,,,,,1651,69
25022,1,0,0,0000,,,,,1651,69
25023,1,0,0,0000,,,,,1651,69
25024,1,0,0,0000,0.001,,,55,1651,69
25025,1,0,0,0000,,,,,1651,69
25026,1,0,0,0000,0.001,,,56,1651,69
25027,1,43495,43495,A9E7,,,,,1651,69
25028,1,5,5,0005,0.001,,,57,1635,34
25029,1,1223,1223,04C7,,,,,1635,34
